Id,Id2,Geography,Total
0600000US2702126378,2702126378,"Hackensack city, Cass County, Minnesota",313
0600000US2702129366,2702129366,"Hiram township, Cass County, Minnesota",316
0600000US2702129978,2702129978,"Home Brook township, Cass County, Minnesota",255
0600000US2702130986,2702130986,"Inguadona township, Cass County, Minnesota",190
0600000US2702132588,2702132588,"Kego township, Cass County, Minnesota",505
0600000US2702134928,2702134928,"Lake Shore city, Cass County, Minnesota",1004
0600000US2702136224,2702136224,"Leech Lake township, Cass County, Minnesota",436
0600000US2702137034,2702137034,"Lima township, Cass County, Minnesota",101
0600000US2702138114,2702138114,"Longville city, Cass County, Minnesota",156
0600000US2702138168,2702138168,"Loon Lake township, Cass County, Minnesota",540
0600000US2702139104,2702139104,"McKinley township, Cass County, Minnesota",133
0600000US2702140076,2702140076,"Maple township, Cass County, Minnesota",377
0600000US2702141102,2702141102,"May township, Cass County, Minnesota",852
0600000US2702141354,2702141354,"Meadow Brook township, Cass County, Minnesota",226
0600000US2702143990,2702143990,"Moose Lake township, Cass County, Minnesota",111
0600000US2702144422,2702144422,"Motley city, Cass County, Minnesota",11
0600000US2702146825,2702146825,"North Cass UT, Cass County, Minnesota",264
0600000US2702146826,2702146826,"North Central Cass UT, Cass County, Minnesota",28
0600000US2702149250,2702149250,"Otter Tail Peninsula township, Cass County, Minnesota",54
0600000US2702150848,2702150848,"Pike Bay township, Cass County, Minnesota",1610
0600000US2702150902,2702150902,"Pillager city, Cass County, Minnesota",469
0600000US2702151172,2702151172,"Pine Lake township, Cass County, Minnesota",207
0600000US2702151280,2702151280,"Pine River city, Cass County, Minnesota",944
0600000US2702151298,2702151298,"Pine River township, Cass County, Minnesota",1156
0600000US2702151928,2702151928,"Ponto Lake township, Cass County, Minnesota",481
0600000US2702151964,2702151964,"Poplar township, Cass County, Minnesota",170
0600000US2702152252,2702152252,"Powers township, Cass County, Minnesota",715
0600000US2702153782,2702153782,"Remer city, Cass County, Minnesota",370
0600000US2702153800,2702153800,"Remer township, Cass County, Minnesota",189
0600000US2702155168,2702155168,"Rogers township, Cass County, Minnesota",63
0600000US2702158216,2702158216,"Salem township, Cass County, Minnesota",95
0600000US2702159872,2702159872,"Shingobee township, Cass County, Minnesota",1514
0600000US2702160790,2702160790,"Slater township, Cass County, Minnesota",215
0600000US2702160970,2702160970,"Smoky Hollow township, Cass County, Minnesota",70
0600000US2702163958,2702163958,"Sylvan township, Cass County, Minnesota",2702
0600000US2702164876,2702164876,"Thunder Lake township, Cass County, Minnesota",272
0600000US2702165254,2702165254,"Torrey township, Cass County, Minnesota",155
0600000US2702165434,2702165434,"Trelipe township, Cass County, Minnesota",150
0600000US2702165776,2702165776,"Turtle Lake township, Cass County, Minnesota",683
0600000US2702167414,2702167414,"Wabedo township, Cass County, Minnesota",341
0600000US2702167595,2702167595,"Wahnena UT, Cass County, Minnesota",180
0600000US2702167684,2702167684,"Walden township, Cass County, Minnesota",500
0600000US2702167792,2702167792,"Walker city, Cass County, Minnesota",941
0600000US2702170348,2702170348,"Wilkinson township, Cass County, Minnesota",401
